date,bank_name,close_price
6/14/2022,JPM,114.06
6/14/2022,BAC,31.459999
6/14/2022,WFC,37.43
6/15/2022,Citi,47.580002
6/15/2022,JPM,115.41
6/15/2022,BAC,32.049999
6/15/2022,WFC,38.169998
6/16/2022,Citi,46.889999
6/16/2022,JPM,113.43
6/16/2022,BAC,31.85
6/16/2022,WFC,37.650002
6/17/2022,Citi,46.52
6/17/2022,JPM,113.03
6/17/2022,BAC,31.92
6/17/2022,WFC,38.48
6/21/2022,Citi,47.959999
6/21/2022,JPM,115.83
6/21/2022,BAC,32.849998
6/21/2022,WFC,38.990002
6/22/2022,Citi,47.200001
6/22/2022,JPM,115.18
6/22/2022,BAC,32.599998
6/22/2022,WFC,38.599998
6/23/2022,Citi,46.349998
6/23/2022,JPM,113.92
6/23/2022,BAC,32.080002
6/23/2022,WFC,37.900002
6/24/2022,Citi,47.860001
6/24/2022,JPM,117.32
6/24/2022,BAC,32.310001
6/24/2022,WFC,40.759998
6/27/2022,Citi,47.830002
6/27/2022,JPM,116.38
6/27/2022,BAC,32.349998
6/27/2022,WFC,40.240002
6/28/2022,Citi,47.209999
6/28/2022,JPM,115.82
6/28/2022,BAC,32.259998
6/28/2022,WFC,40.18
6/29/2022,Citi,47.099998
6/29/2022,JPM,115.3
6/29/2022,BAC,31.860001
6/29/2022,WFC,39.709999
6/30/2022,Citi,45.990002
6/30/2022,JPM,112.61
6/30/2022,BAC,31.129999
6/30/2022,WFC,39.169998
7/1/2022,Citi,46.869999
7/1/2022,JPM,114.05
7/1/2022,BAC,31.559999
7/1/2022,WFC,39.919998
7/5/2022,Citi,46.610001
7/5/2022,JPM,112.62
7/5/2022,BAC,31.24
7/5/2022,WFC,40.099998
7/6/2022,Citi,46.150002
7/6/2022,JPM,111.89
7/6/2022,BAC,30.98
7/6/2022,WFC,39.5
7/7/2022,Citi,46.93
7/7/2022,JPM,114.72
7/7/2022,BAC,31.860001
7/7/2022,WFC,40.119999
7/8/2022,Citi,46.82
7/8/2022,JPM,114.36
7/8/2022,BAC,31.790001
7/8/2022,WFC,40.18
